split,role,model,target,n,mae,rmse,r2,spearman_rho,variant
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_freelaw_val_loss,63,3.835064234991554,3.8692371904839287,-220.11332451169184,0.6565860215053764,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_pubmed_central_val_loss,63,3.7695175924044646,3.8165280667799193,-348.35598845226525,0.5978302611367128,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_wikipedia_en_val_loss,63,4.265775405395749,4.282347821273959,-421.65280968616514,0.27731374807987713,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_dm_mathematics_val_loss,63,3.00990512835499,3.102354592211546,-91.16462843555895,0.6646505376344086,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_github_val_loss,63,4.014197864768671,4.0662321813030475,-350.51438340616494,0.6466013824884793,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_stackexchange_val_loss,63,3.897039098423217,3.938136916116989,-643.1170537838742,0.47098779510634176,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_gutenberg_pg_19_val_loss,63,3.9650297315087872,3.978535739384636,-426.9712611886593,0.4124903993855607,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_pile_cc_val_loss,63,4.209719391430449,4.219886927809917,-464.89131839398493,0.11717549923195085,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_ubuntu_irc_val_loss,63,4.9157730529400006,4.944704682742526,-370.71868649905815,0.466571459464515,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_hackernews_val_loss,63,3.9652349297340344,3.978554457622223,-607.4974485748629,0.05779569892473118,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_pubmed_abstracts_val_loss,63,3.998597463459153,4.018534212198009,-435.83101825898433,0.26022465437788017,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_uspto_backgrounds_val_loss,63,3.7785566702470863,3.795112041779746,-366.1412151001558,0.3650721264522779,closed
