replicate,rmse,mae,r2
514,0.00015887078748791887,0.00011437146680478881,0.9999997623660917
515,0.0001568499261024001,0.00010935840378898682,0.9999997878518332
516,0.00016531610986286069,0.00011857650704984642,0.9999997787002967
517,0.0001684761674737588,0.00011976432812368384,0.9999997855057472
518,0.00015733060764035715,0.00011156771770337657,0.9999997998002862
519,0.00016898921993218713,0.0001193985678240032,0.9999998178497405
520,0.0001394749327881645,9.76906774926835e-05,0.999999808392965
521,0.00013001826746572817,9.483035089180128e-05,0.999999783807223
522,0.00017455554346032355,0.0001258417941402463,0.999999789462836
523,0.00014309772989870554,0.00010344200178244728,0.9999998311979383
524,0.00013494881682716238,9.62132412341018e-05,0.9999997861569317
525,0.0001412037609383231,0.00010399991042741536,0.9999997761708578
526,0.00014067523773189528,0.00010250739084784726,0.9999997612230658
527,0.00014117535255859517,0.00010218890350630722,0.999999818840181
528,0.00015255067344365853,0.00011173276156185295,0.9999997761670829
529,0.0001602030070820733,0.00011657950995207363,0.999999745796914
530,0.00015540341926295067,0.00010989686233240249,0.9999997824965252
531,0.00017147504604538556,0.00011760994155269333,0.9999998251934733
532,0.0001376362419346409,9.879558290131827e-05,0.9999997787887106
533,0.00018272410272616839,0.00013481066711032194,0.9999996829864547
534,0.0001199726648714104,8.644885957935264e-05,0.999999797896591
535,0.0001234197469642611,8.546648840880247e-05,0.9999997951555013
536,0.00014067523773189528,0.00010250739084784726,0.9999997612230658
537,0.000154813764081901,0.0001119570995442946,0.99999977778552
538,0.00014078573049667345,9.794388763192091e-05,0.9999997216832384
539,0.00016206559929807148,0.00011913858713449949,0.99999978082918
540,0.00016569481454532518,0.00012130499487131466,0.9999997465418413
541,0.00015588856116076016,0.00011210617624679224,0.999999791875461
542,0.00014751057451164204,0.00010416189213073003,0.9999997726165466
543,0.0001686477518062606,0.00011919788125846475,0.9999998072612242
544,0.00016410738876050665,0.00011619866633140661,0.9999997998388229
545,0.00015064752232075214,0.00010954273228380037,0.9999997924840177
546,0.0001645309421210098,0.00011938566282318619,0.9999998223577319
547,0.00016678744296153895,0.00012039605219120557,0.9999997519709336
548,0.00014727844275599274,0.00010612886381851608,0.9999997961860887
549,0.0001578214595623093,0.00011323818614223806,0.9999997668326217
550,0.0001574949325410669,0.0001121569022748407,0.9999998185532918
551,0.00013199095800760414,9.291919038240682e-05,0.9999997985971758
552,0.0001603889349378013,0.00011250757925353495,0.9999997883699715
553,0.00013969629084170938,0.00010080766332007744,0.9999998052265633
554,0.00012682887169867898,8.837204125457177e-05,0.9999997642270855
555,0.00018853796916427028,0.00013860829139463368,0.9999997597814222
556,0.00015124896237049082,0.00011268897720010263,0.9999997762392488
557,0.00015546721843203264,0.00011475559803014848,0.9999998057712849
558,0.00013347555511436323,9.716945687235149e-05,0.9999997892252245
559,0.00017053038900570288,0.00012028261819576999,0.9999997856670736
560,0.00015560211925704894,0.00011301384815979642,0.9999997646205122
561,0.00017080336405917747,0.00012305837897537883,0.9999997622585723
562,0.0001394340174440386,0.00010036935836494807,0.999999825358451
563,0.00015239919107903235,0.00010556880057145073,0.9999998440033149
564,0.0001394749327881645,9.76906774926835e-05,0.999999808392965
565,0.00015694519976648707,0.0001167449407426626,0.9999997756817544
566,0.00014777269255015035,0.00010423190279511567,0.9999998294558576
567,0.00013616701506514374,9.662972756183089e-05,0.9999997559785206
568,0.0001462559587486988,0.00010494831019782474,0.9999997957827963
569,0.00013958154514182177,9.833365640495152e-05,0.9999997706365379
570,0.00012515711763415357,9.236871067316647e-05,0.9999997968384814
571,0.00015234799365086924,0.00010861577573445903,0.9999997924320165
572,0.00013540951799402334,9.864777696592554e-05,0.9999997788203027
573,0.00015072993873249845,0.00011030171442641949,0.99999980389505
574,0.00015971947432998022,0.00011490904151321215,0.9999997858261094
575,0.00016326401402907672,0.00011548314276368989,0.9999998108676367
576,0.00014234936506581693,9.78217499510191e-05,0.9999998236689808
577,0.00016244723645238875,0.00011729542045190296,0.9999997884963145
578,0.00014073068174006465,9.946041568483898e-05,0.9999998303334203
579,0.00013540198068499567,9.793098263110389e-05,0.9999997662353637
580,0.0001633546916621323,0.0001186474015492244,0.9999997982890799
581,0.00014502274381674498,0.00010398482710642897,0.999999783349864
582,0.00014728116202463847,0.00010642281590816058,0.9999997914238618
583,0.00014623642522917915,0.00010477036133853134,0.999999827928939
584,0.0001651809035132819,0.00011698420056350899,0.9999998269925507
585,0.00013471668559493656,9.280230331706337e-05,0.9999997896669885
586,0.00014397858889465609,0.00010378847744579074,0.9999997491101934
587,0.0001541072677162276,0.00011067512911135878,0.9999998154975555
588,0.00016133659623382844,0.00011766551765648379,0.999999736063232
589,0.0001454346526982677,0.00010653536606860382,0.999999802324368
590,0.00016608933169620155,0.00011845870627384482,0.9999998267888139
591,0.00015333155900531896,0.00010586800327665359,0.9999997786306962
592,0.0001515453535680474,0.00010785297920860169,0.9999997977645402
593,0.0001511775563372085,0.00011133572533567626,0.999999725653442
594,0.00013913763074765162,9.462096462343018e-05,0.9999998160838214
595,0.00012719566932822656,9.11478020341806e-05,0.999999776823178
596,0.0001438384457741273,0.0001045460233560897,0.9999998292022182
597,0.00013380428995116787,8.752327653342028e-05,0.9999997336002365
598,0.00017086656856153055,0.0001244116308398052,0.9999997902253568
599,0.00015393048594380544,0.00010675188818320516,0.99999981326591
600,0.00013946034045271777,9.956310326418837e-05,0.9999998158177534
601,0.00012790581564409845,9.25930486556081e-05,0.9999997914964225
602,0.00016149940528114253,0.00011697654617825033,0.9999997835267527
603,0.00014626704632405074,0.00010435404047601747,0.9999997519190754
604,0.000142239104798273,9.816297499880419e-05,0.9999998259052366
605,0.0001505437844526504,0.00010736267745831896,0.9999997783809637
606,0.00013380174366061458,9.554499062452565e-05,0.9999998069756889
607,0.00012719566932822656,9.11478020341806e-05,0.999999776823178
608,0.00014983034094297795,0.00010976413971799615,0.9999997799311924
609,0.00016713271191969465,0.000120596738756744,0.9999997701763282
610,0.0001366295660718627,9.808005933360153e-05,0.999999791259351
611,0.0001427917998638545,0.00010084418986213185,0.9999998066748579
612,0.00014572615575663642,0.00010327784175896324,0.9999998215590709
613,0.0001358495496659147,9.697603775995911e-05,0.9999997880362472
614,0.00013674434952060222,9.773883428581645e-05,0.9999997878746388
615,0.000145652042188042,0.00010192458989453687,0.9999997811710588
616,0.00015412580370805152,0.00011085307797065218,0.9999997831470975
617,0.0001677507139336975,0.00011900153159782652,0.9999997944329514
618,0.00013823722798844966,9.923607770239733e-05,0.9999998334843198
619,0.0001647239797466626,0.00011899716481726049,0.9999998185476895
620,0.00015334574237437138,0.00010821785567328999,0.999999784549496
621,0.00015646985696146298,0.0001152524211630945,0.9999997766651668
622,0.00017165514328133468,0.00012072692738008726,0.9999998128746909
623,0.00014334194393368069,0.00010584871465768284,0.9999997507477989
624,0.00014196677027758126,9.809296433441856e-05,0.9999997567632408
625,0.0001474774079986079,0.0001058563690429415,0.9999998167972816
626,0.00012791270251724605,8.90875648222885e-05,0.9999997564612924
627,0.00014095006768956097,0.0001025774015122329,0.9999998277687939
628,0.0001487039523093679,0.00010494742636283239,0.9999998211619593
629,0.0001490169152543507,0.00010772318714244123,0.9999998101689667
630,0.00014644802053714973,0.00010536606729265876,0.999999799722655
631,0.0001452356465293755,0.0001071018129338229,0.9999997710219477
632,0.0001364032313631794,9.496307350620761e-05,0.9999997919268899
633,0.00015483259881551086,0.00010657918993947011,0.9999997778026491
