split,role,model,target,n,mae,rmse,r2,spearman_rho,normalized_rmse,mapping_scenario,q_scenario
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_freelaw_val_loss,248,0.4155101914181952,0.47856528491199113,0.577199117040005,0.7718938965998512,0.6192942401029279,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_pubmed_central_val_loss,248,0.4495068590488206,0.5160366707229108,0.6095262765767777,0.8396970407423084,0.6280197683454117,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_wikipedia_en_val_loss,248,0.24828045821607392,0.2978468217434717,0.7052855087159338,0.8764088612514574,0.5674190145947962,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_dm_mathematics_val_loss,248,1.061190545068416,1.156774510528234,0.42922977559848974,0.7681930543120634,0.7632863489160867,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_github_val_loss,248,0.45374063868048775,0.5589093134908322,0.5839165583480481,0.8564830039762026,0.5964583157121301,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_stackexchange_val_loss,248,0.3327683818453727,0.41067501957619224,0.5693025312193581,0.846539350558824,0.5958434585887594,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_gutenberg_pg_19_val_loss,248,0.19962064922142322,0.2548190876518444,0.6797610045193945,0.8936920464934047,0.596585428654857,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_pile_cc_val_loss,248,0.1263683574268889,0.15479095493784423,0.7638790847966013,0.8985257996856172,0.4972647463724822,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_ubuntu_irc_val_loss,248,0.5799752770510991,0.6504186081700938,0.5768162606338552,0.77075311825859,0.6442741671346238,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_hackernews_val_loss,248,0.1572941417005595,0.19064255211843673,0.6836810010372971,0.845546480030085,0.5753335235587984,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_pubmed_abstracts_val_loss,248,0.20392498862457165,0.26315388271582535,0.7870153390194472,0.9168545672831065,0.44844719165668784,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_uspto_backgrounds_val_loss,248,0.22339855051020838,0.27058523268686385,0.7168226089855807,0.8434301395211249,0.5069150086313622,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,,,,,,,,direct_only,q_huber_unicode_broad_sensitivity
